scenario_order,scenario_id,treatment_id,cell_id,observation_id,vintage_id,value_lexeme,synthetic,changed_vs_baseline
1,validation_001,B0,05ae4dff5d60b5021813,ad8a7f5c7869af674e3a,9ab2011a3892edfac889,2.76,no,no
1,validation_001,B0,1c03a76cb6a98f53235d,09bd4158de9b28a03d83,b132d2fab33291e0733e,-1.17,no,no
1,validation_001,B0,3087bf08970908c509ca,df8ae4a2843995c9185d,b132d2fab33291e0733e,-0.19,no,no
1,validation_001,B0,425bfdd5ca02ab3e3cc1,87cdfc70ee6d45666fec,b132d2fab33291e0733e,12.04,no,no
1,validation_001,B0,4aab4307f4906503d2a4,e06e475e6f5cb8748897,b132d2fab33291e0733e,-4.07,no,no
1,validation_001,B0,53b2a1ef09a68d6c5173,74fed6e1c3d917191be6,9ab2011a3892edfac889,-3.26,no,no
1,validation_001,B0,5b5eeef107bb6f124496,edde0b27f2f31f5fb962,9ab2011a3892edfac889,13.10,no,no
1,validation_001,B0,71a013b45f47a8aefa7d,4af2e0e7825c9f2ac443,b132d2fab33291e0733e,19.25,no,no
1,validation_001,B0,7c1c5248808f73b2f3a6,b5718af8676ffae2106a,11e6733d4f82a796f7d5,1.19,yes,yes
1,validation_001,B0,7e097ceb497e25947325,d99bc3566095bc6ee582,9ab2011a3892edfac889,51.16,no,no
1,validation_001,B0,94651a48df17d3b56a1b,b55b4fefc9148be667c1,b132d2fab33291e0733e,1.15,no,no
1,validation_001,B0,af12d1ae8c1555d899be,d3d17696ddd6a7bcb743,b132d2fab33291e0733e,-0.69,no,no
1,validation_001,B0,e33e2f8351747300cba7,506a60e86fb32d9c608b,b132d2fab33291e0733e,3.66,no,no
1,validation_001,B0,e4982bb0d13ac08094aa,49b82f2b710bfb946f9f,b132d2fab33291e0733e,4.14,no,no
1,validation_001,B1,05ae4dff5d60b5021813,ad8a7f5c7869af674e3a,9ab2011a3892edfac889,2.76,no,no
1,validation_001,B1,1c03a76cb6a98f53235d,09bd4158de9b28a03d83,b132d2fab33291e0733e,-1.17,no,no
1,validation_001,B1,3087bf08970908c509ca,df8ae4a2843995c9185d,b132d2fab33291e0733e,-0.19,no,no
1,validation_001,B1,425bfdd5ca02ab3e3cc1,87cdfc70ee6d45666fec,b132d2fab33291e0733e,12.04,no,no
1,validation_001,B1,4aab4307f4906503d2a4,e06e475e6f5cb8748897,b132d2fab33291e0733e,-4.07,no,no
1,validation_001,B1,53b2a1ef09a68d6c5173,74fed6e1c3d917191be6,9ab2011a3892edfac889,-3.26,no,no
1,validation_001,B1,5b5eeef107bb6f124496,edde0b27f2f31f5fb962,9ab2011a3892edfac889,13.10,no,no
